Domain,Layer 1,Layer 2,Layer 3,Layer 4
CreatedThings,AIArtifact,,,
CreatedThings,ArtWork,,,
CreatedThings,Artifact,,,
CreatedThings,AttackPattern,,,
CreatedThings,Building,StationaryArtifact,,
CreatedThings,ComputerProgram,Procedure,,
CreatedThings,CyberOperation,,,
CreatedThings,DataCenter,Facility,,
CreatedThings,Device,,,
CreatedThings,Game,Contest,,
CreatedThings,Machine,,,
CreatedThings,Tool,HarnessComponent,,
CreatedThings,TransformerModel,AIModel,NeuralNetworkModel,
CreatedThings,Vehicle,TransportationDevice,,
CreatedThings,Weapon,,,
CreatedThings,AIArtifact,AIDataset,,
CreatedThings,AIArtifact,AIModel,,
CreatedThings,AIArtifact,AISystem,,
CreatedThings,Device,Aerator,,
CreatedThings,Vehicle,AgentPoweredVehicle,,
CreatedThings,Machine,AirConditioningCondenser,,
CreatedThings,Machine,AirConditioningEvaporator,,
CreatedThings,Vehicle,Aircraft,,
CreatedThings,Device,AnimalController,,
CreatedThings,Device,AnimalPoweredDevice,,
CreatedThings,Artifact,AnimalResidence,,
CreatedThings,AttackPattern,AntiAnalysisBehavior,,
CreatedThings,Weapon,AntiArmorWeapon,,
CreatedThings,Artifact,Armor,,
CreatedThings,Vehicle,ArmoredVehicle,,
CreatedThings,Device,AttachingDevice,,
CreatedThings,Device,AudioRecorder,,
CreatedThings,Building,Auditorium,,
CreatedThings,ComputerProgram,AutomaticApplication,,
CreatedThings,Device,AutomobileMuffler,,
CreatedThings,Device,Axle,,
CreatedThings,Device,BallBearing,,
CreatedThings,Artifact,Bandage,,
CreatedThings,Building,Barn,,
CreatedThings,Device,Barricade,,
CreatedThings,Building,BaseballDugout,,
CreatedThings,Device,Baton,,
CreatedThings,Artifact,BedFrame,,
CreatedThings,Artifact,BedLinen,,
CreatedThings,Building,BeerBrewery,,
CreatedThings,Artifact,BeverageArtifact,,
CreatedThings,Game,Blackjack,,
CreatedThings,Artifact,BoardOrBlock,,
CreatedThings,Artifact,BoatDeck,,
CreatedThings,Weapon,Bomb,,
CreatedThings,Device,Brake,,
CreatedThings,Device,BrakeCaliper,,
CreatedThings,Device,BrakeDrum,,
CreatedThings,Device,BrakePedal,,
CreatedThings,Device,BrakeRotor,,
CreatedThings,Device,BrushOrComb,,
CreatedThings,Artifact,Buttstock,,
CreatedThings,Device,Cam,,
CreatedThings,Device,Camera,,
CreatedThings,Device,CanOpener,,
CreatedThings,Device,CanalLockGate,,
CreatedThings,Artifact,CantileverObject,,
CreatedThings,Device,Carabiner,,
CreatedThings,Vehicle,CargoVehicle,,
CreatedThings,Artifact,Cement,,
CreatedThings,Artifact,Chain,,
CreatedThings,Artifact,ChainLink,,
CreatedThings,Artifact,ChemicalArtifact,,
CreatedThings,Game,Chess,,
CreatedThings,Device,Chimney,,
CreatedThings,Device,CleaningDevice,,
CreatedThings,Device,Clutch,,
CreatedThings,ArtWork,Collage,,
CreatedThings,Device,CombustionChamber,,
CreatedThings,Building,CommercialBuilding,,
CreatedThings,Device,Compass,,
CreatedThings,Artifact,Concrete,,
CreatedThings,ComputerProgram,ConsoleApplication,,
CreatedThings,Artifact,ConsumerGood,,
CreatedThings,Device,ContraceptiveDevice,,
CreatedThings,Device,CoolingDevice,,
CreatedThings,Game,CooperativeGame,,
CreatedThings,Device,CuttingDevice,,
CreatedThings,Vehicle,DamagedVehicle,,
CreatedThings,Device,Damper,,
CreatedThings,Game,Darts,,
CreatedThings,Device,DataStorageDevice,,
CreatedThings,ArtWork,DecorativeAppliance,,
CreatedThings,CyberOperation,DefensiveCyberOperation,,
CreatedThings,Artifact,DisplayArtifact,,
CreatedThings,Device,Distributor,,
CreatedThings,Artifact,Document,,
CreatedThings,Artifact,Door,,
CreatedThings,Device,Drivebelt,,
CreatedThings,Device,DryingDevice,,
CreatedThings,Device,Earphone,,
CreatedThings,Device,ElectricDevice,,
CreatedThings,Device,ElectricalOutlet,,
CreatedThings,Device,EngineChoke,,
CreatedThings,Device,EngineConnectingRod,,
CreatedThings,Artifact,EngineCylinder,,
CreatedThings,Device,EngineeringComponent,,
CreatedThings,Building,EntertainmentBuilding,,
CreatedThings,Device,ExhaustManifold,,
CreatedThings,Device,ExplosiveDevice,,
CreatedThings,Game,ExtensiveFormGame,,
CreatedThings,Artifact,Fabric,,
CreatedThings,Building,FactoryBuilding,,
CreatedThings,Building,FarmBuilding,,
CreatedThings,Device,FaxMachine,,
CreatedThings,Device,FileDevice,,
CreatedThings,Device,Filter,,
CreatedThings,Device,FireAlarm,,
CreatedThings,Device,FireExtinguisher,,
CreatedThings,Device,Fireplace,,
CreatedThings,Artifact,FoodArtifact,,
CreatedThings,Artifact,ForestArtifact,,
CreatedThings,Artifact,Forestock,,
CreatedThings,Device,FuelAtomizer,,
CreatedThings,Artifact,Furniture,,
CreatedThings,Artifact,GameArtifact,,
CreatedThings,Machine,GasCompressor,,
CreatedThings,Device,GasPedal,,
CreatedThings,Device,Gasket,,
CreatedThings,Machine,Generator,,
CreatedThings,Game,GoGame,,
CreatedThings,Building,GovernmentBuilding,,
CreatedThings,Artifact,GrabBar,,
CreatedThings,Device,GreaseFitting,,
CreatedThings,Device,GreaseGun,,
CreatedThings,Weapon,Gun,,
CreatedThings,Artifact,GunChamber,,
CreatedThings,Artifact,GunCylinder,,
CreatedThings,Artifact,GunMuzzle,,
CreatedThings,Device,Hammer,,
CreatedThings,Artifact,Handicraft,,
CreatedThings,AIArtifact,HarnessComponent,,
CreatedThings,Device,HeatSealer,,
CreatedThings,Device,HeatingDevice,,
CreatedThings,Weapon,HighPrecisionWeapon,,
CreatedThings,Building,HighRise,,
CreatedThings,Device,Holder,,
CreatedThings,Device,HomeAppliance,,
CreatedThings,Building,HomeGarage,,
CreatedThings,Building,HotelVilla,,
CreatedThings,Device,HouseholdAppliance,,
CreatedThings,Machine,IceMachine,,
CreatedThings,Artifact,IndustrialSupply,,
CreatedThings,AttackPattern,InjectionAttack,,
CreatedThings,Artifact,InteriorVehicleEquipment,,
CreatedThings,Device,InternetAccessPoint,,
CreatedThings,Device,IroningBoard,,
CreatedThings,Artifact,IrrigationChannel,,
CreatedThings,Device,JumperCable,,
CreatedThings,Device,Keyboard,,
CreatedThings,Device,KnockLight,,
CreatedThings,Artifact,Ladder,,
CreatedThings,Weapon,LandMine,,
CreatedThings,Vehicle,LandVehicle,,
CreatedThings,Device,Laser,,
CreatedThings,Machine,Lathe,,
CreatedThings,Artifact,LeadArtifact,,
CreatedThings,Device,Lever,,
CreatedThings,Building,LibraryBuilding,,
CreatedThings,Device,Lid,,
CreatedThings,Device,LightFixture,,
CreatedThings,Device,Machinery,,
CreatedThings,Device,MajorAppliance,,
CreatedThings,CyberOperation,MaliciousEmbeddingAction,,
CreatedThings,Artifact,Mast,,
CreatedThings,Device,MatchDevice,,
CreatedThings,Device,MaterialHandlingEquipment,,
CreatedThings,Artifact,Mattress,,
CreatedThings,Device,MeasuringDevice,,
CreatedThings,Device,MechanicalDie,,
CreatedThings,Device,MechanicalTap,,
CreatedThings,Building,MedicalClinicBuilding,,
CreatedThings,Device,MedicalDevice,,
CreatedThings,AttackPattern,MemoryCorruptionAttack,,
CreatedThings,Artifact,MetalArtifact,,
CreatedThings,Artifact,MilitaryArtifact,,
CreatedThings,Vehicle,MilitaryVehicle,,
CreatedThings,Artifact,MiningArtifact,,
CreatedThings,Artifact,Mirror,,
CreatedThings,Artifact,MobileStructure,,
CreatedThings,AIArtifact,ModelComponent,,
CreatedThings,ComputerProgram,MonitoringProgram,,
CreatedThings,Weapon,Mortar,,
CreatedThings,Machine,Motor,,
CreatedThings,Device,MusicalInstrument,,
CreatedThings,Game,NonCooperativeGame,,
CreatedThings,Weapon,NuclearWeapon,,
CreatedThings,CyberOperation,OffensiveCyberOperation,,
CreatedThings,Building,OfficeBuilding,,
CreatedThings,Device,OpticalDevice,,
CreatedThings,Device,OutletAdapter,,
CreatedThings,ArtWork,PaintedPicture,,
CreatedThings,Device,PaintingDevice,,
CreatedThings,Artifact,Paper,,
CreatedThings,Building,ParkingGarage,,
CreatedThings,Vehicle,PassengerVehicle,,
CreatedThings,Device,PastaMaker,,
CreatedThings,Device,Pendulum,,
CreatedThings,Artifact,PharmaceuticalArtifact,,
CreatedThings,Artifact,PhotographicFilm,,
CreatedThings,Device,PhysicalDevice,,
CreatedThings,Artifact,PictureFrame,,
CreatedThings,Artifact,Pillow,,
CreatedThings,Artifact,Piston,,
