Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,,,,,
Attribute,,,,,
Continuant,,,,,
Entity,,,,,
Object,,,,,
Occurrent,,,,,
Physical,,,,,
Process,,,,,
Relation,,,,,
Entity,AbstractEntity,,,,
Object,Artifact,,,,
Object,AutonomousAgent,,,,
Relation,BinaryRelation,,,,
Process,CognitiveProcess,,,,
Physical,Collection,,,,
Entity,Game,,,,
Relation,InheritableRelation,,,,
Process,IntentionalProcess,,,,
Attribute,InternalAttribute,,,,
Process,InternalChange,,,,
Process,Motion,,,,
Attribute,PhysicalQuantity,,,,
Abstract,Proposition,,,,
Object,Region,,,,
Attribute,RelationalAttribute,,,,
Abstract,ScientificEntity,,,,
Process,IntentionalProcess,AIAlignmentProcess,,,
Entity,,AIArtifact,,,
Process,IntentionalProcess,AIGovernance,,,
Process,IntentionalProcess,AIGrowth,,,
Attribute,RelationalAttribute,AVPUStatus,,,
Abstract,Proposition,Agreement,,,
Attribute,RelationalAttribute,AirportClassification,,,
Object,Region,AirportStagingArea,,,
Attribute,RelationalAttribute,AlbumAttribute,,,
Attribute,InternalAttribute,AlgebroDifferentialAttribute,,,
Process,IntentionalProcess,Ambulating,,,
Object,Artifact,AnimalResidence,,,
Relation,BinaryRelation,AntisymmetricRelation,,,
Physical,Collection,Archipelago,,,
Attribute,RelationalAttribute,AreaOfConcern,,,
Abstract,Proposition,Argument,,,
Object,Artifact,Armor,,,
Object,Artifact,ArtWork,,,
Attribute,RelationalAttribute,ArtifactAttribute,,,
Object,Region,AssemblyStation,,,
Object,Region,Atmosphere,,,
Process,CognitiveProcess,AttentionProcess,,,
Object,AutonomousAgent,AutomatedSystem,,,
Attribute,InternalAttribute,Autonomous,,,
Object,AutonomousAgent,AutonomousMobileRobot,,,
Abstract,Proposition,Axiom,,,
Attribute,InternalAttribute,Backlashless,,,
Object,Artifact,Bandage,,,
Abstract,Proposition,BankStatement,,,
Attribute,RelationalAttribute,BedAttribute,,,
Object,Artifact,BedFrame,,,
Object,Artifact,BedLinen,,,
Object,Artifact,BeverageArtifact,,,
Relation,InheritableRelation,BinaryFunction,,,
Relation,BinaryRelation,BinaryPredicate,,,
Abstract,Proposition,BindingCorporateRules,,,
Attribute,InternalAttribute,BiodiversityAttribute,,,
Attribute,InternalAttribute,BiologicalAttribute,,,
Process,InternalChange,BiologicalProcess,,,
Entity,Game,Blackjack,,,
Object,Artifact,BoardOrBlock,,,
Object,Artifact,BoatDeck,,,
Process,Motion,BodyMotion,,,
Physical,Collection,BookStoreChain,,,
Physical,Collection,BotNet,,,
Physical,Collection,BoxOfChocolates,,,
Attribute,InternalAttribute,BreakabilityAttribute,,,
Attribute,InternalAttribute,Brushless,,,
Physical,Collection,Buffet,,,
Object,Artifact,Buttstock,,,
Process,CognitiveProcess,CSReasoningProcess,,,
Object,Artifact,CantileverObject,,,
Relation,InheritableRelation,CaseRole,,,
Object,Artifact,Cement,,,
Process,IntentionalProcess,Ceremony,,,
Object,Artifact,Chain,,,
Object,Artifact,ChainLink,,,
Object,Artifact,ChemicalArtifact,,,
Process,InternalChange,ChemicalProcess,,,
Entity,Game,Chess,,,
Abstract,Proposition,ClassificationScheme,,,
Process,Motion,Closing,,,
Attribute,RelationalAttribute,ClothesWasherLoadConfiguration,,,
Physical,Collection,ClothingSuit,,,
Attribute,RelationalAttribute,CoffeeGrindAttribute,,,
Attribute,RelationalAttribute,CoffeeRoastAttribute,,,
Process,CognitiveProcess,CognitiveDevelopmentProcess,,,
Entity,AbstractEntity,CognitiveState,,,
Attribute,InternalAttribute,ColorAttribute,,,
Process,IntentionalProcess,Commenting,,,
Object,AutonomousAgent,CommercialAgent,,,
Entity,AbstractEntity,CommunicationChannel,,,
Physical,Collection,CommunicationSystem,,,
Process,CognitiveProcess,CommunityDetectionProcess,,,
Process,Motion,Compressing,,,
Entity,AbstractEntity,ComputationalEntity,,,
Process,IntentionalProcess,ComputationalProcess,,,
Process,InternalChange,ComputerProcess,,,
Attribute,RelationalAttribute,ComputerStatus,,,
Entity,AbstractEntity,ConceptBoundary,,,
Entity,AbstractEntity,ConceptManifold,,,
Entity,AbstractEntity,ConceptPoint,,,
Entity,AbstractEntity,ConceptRegion,,,
Abstract,Proposition,ConceptualSituation,,,
Entity,AbstractEntity,ConceptualSpace,,,
Object,Artifact,Concrete,,,
Entity,AbstractEntity,Condition,,,
Process,IntentionalProcess,ConsentGDPR,,,
Attribute,RelationalAttribute,ConservationStatus,,,
Attribute,PhysicalQuantity,ConstantQuantity,,,
Abstract,Proposition,Constitution,,,
Object,Artifact,ConsumerGood,,,
Process,IntentionalProcess,ContentDevelopment,,,
Physical,Collection,Convoy,,,
Entity,Game,CooperativeGame,,,
Process,CognitiveProcess,CorporateAlignmentProcess,,,
Process,CognitiveProcess,CounterIntelligenceReasoningProcess,,,
Process,InternalChange,Creation,,,
Process,IntentionalProcess,CriminalAction,,,
Attribute,RelationalAttribute,Cuisine,,,
Process,InternalChange,Damaging,,,
Entity,Game,Darts,,,
Process,CognitiveProcess,DecisionProcess,,,
Process,IntentionalProcess,DecisionTheoreticProcess,,,
Physical,Collection,DecorativeLightString,,,
Process,IntentionalProcess,DeployingWeaponOfMassDestruction,,,
Process,IntentionalProcess,Designing,,,
Object,Artifact,Device,,,
Attribute,InternalAttribute,DeviceStateAttribute,,,
Process,IntentionalProcess,Digging,,,
Object,Region,DiningArea,,,
Process,Motion,DirectionChange,,,
Physical,Collection,Discography,,,
Process,IntentionalProcess,DismantlingWeaponOfMassDestruction,,,
Entity,AbstractEntity,DispersionRelation,,,
Object,Artifact,DisplayArtifact,,,
Object,Artifact,Document,,,
Process,IntentionalProcess,Dodging,,,
Object,Artifact,Door,,,
Process,IntentionalProcess,Drilling,,,
Physical,Collection,DrugStoreChain,,,
Process,IntentionalProcess,Ducking,,,
Entity,AbstractEntity,DynamicalSystem,,,
Process,IntentionalProcess,Eating,,,
Process,IntentionalProcess,EconomicActivty,,,
Attribute,RelationalAttribute,EconomicAttribute,,,
Abstract,Proposition,EconomicIndicator,,,
Relation,BinaryRelation,EconomicRelation,,,
Attribute,RelationalAttribute,EconomicRole,,,
Object,Region,EducationalCampus,,,
Entity,AbstractEntity,EmbeddingMap,,,
Process,CognitiveProcess,EmbodimentReasoningProcess,,,
Object,AutonomousAgent,Employer,,,
Attribute,PhysicalQuantity,Energy,,,
Process,CognitiveProcess,EnergyFlowReasoning,,,
Attribute,RelationalAttribute,EnergyStarAttribute,,,
Process,Motion,EngineCranking,,,
Process,Motion,EngineCycle,,,
Object,Artifact,EngineCylinder,,,
Process,IntentionalProcess,EngineersSubprocess,,,
Attribute,PhysicalQuantity,Entropy,,,
Attribute,RelationalAttribute,EnvironmentSoftwareAttribute,,,
Process,CognitiveProcess,EpistemicProcess,,,
Attribute,InternalAttribute,EpistemicState,,,
Abstract,Proposition,Equation,,,
Attribute,InternalAttribute,EquationAttribute,,,
Process,CognitiveProcess,EstimationProcess,,,
Entity,,EthicalTheory,,,
Attribute,RelationalAttribute,EuropeanUnionEnergyLabelClass,,,
Process,IntentionalProcess,Evacuation,,,
Abstract,ScientificEntity,Explanation,,,
Abstract,Proposition,ExplanatoryHypothesis,,,
Entity,Game,ExtensiveFormGame,,,
Object,Artifact,Fabric,,,
Object,Region,Facility,,,
Entity,AbstractEntity,FactualProposition,,,
Abstract,ScientificEntity,FalsificationEvent,,,
Process,CognitiveProcess,FastHeuristicProcess,,,
Entity,AbstractEntity,FieldDistribution,,,
Abstract,Proposition,FieldOfStudy,,,
Physical,Collection,FilingSystem,,,
Attribute,RelationalAttribute,FinancialAccountStatus,,,
Attribute,RelationalAttribute,FinancialRating,,,
Physical,Collection,FireSprinklerSystem,,,
Physical,Collection,FirearmShot,,,
Physical,Collection,Fleet,,,
Physical,Collection,FleetVehicleGroup,,,
Object,Region,FlowRegion,,,
Process,CognitiveProcess,FluidReasoningProcess,,,
Object,Artifact,FoodArtifact,,,
Object,Artifact,ForestArtifact,,,
Object,Artifact,Forestock,,,
Process,Motion,FourStrokeCombustion,,,
Process,Motion,FourStrokeCompression,,,
Process,Motion,FourStrokeExhaust,,,
Process,Motion,FourStrokeIntake,,,
Relation,InheritableRelation,Function,,,
Attribute,PhysicalQuantity,FunctionQuantity,,,
Object,Artifact,Furniture,,,
Object,Artifact,GameArtifact,,,
Process,Motion,GasMotion,,,
Physical,Collection,GasolineStationChain,,,
Entity,AbstractEntity,GeodesicCurve,,,
Object,Region,GeographicArea,,,
Process,Motion,GeologicalProcess,,,
Process,CognitiveProcess,GeometricReasoningProcess,,,
Object,AutonomousAgent,GeopoliticalArea,,,
Entity,Game,GoGame,,,
Physical,Collection,GolgiApparatus,,,
Physical,Collection,GoodsAndServices,,,
Object,Artifact,GrabBar,,,
Attribute,RelationalAttribute,GramStainAttribute,,,
Abstract,Proposition,Graph,,,
Abstract,Proposition,GraphElement,,,
Physical,Collection,GroceryStoreChain,,,
Physical,Collection,Group,,,
Physical,Collection,GroupOfUndertakings,,,
Process,IntentionalProcess,Guiding,,,
Object,Artifact,GunChamber,,,
Object,Artifact,GunCylinder,,,
Object,Artifact,GunMuzzle,,,
Process,CognitiveProcess,HabitatAwarenessProcess,,,
Object,Artifact,Handicraft,,,
Process,CognitiveProcess,HatcatMentalProcess,,,
Attribute,RelationalAttribute,HazardousMaterialTransportAttribute,,,
Attribute,PhysicalQuantity,Heat,,,
Object,Region,HoleRegion,,,
Physical,Collection,HomologousChromosomeSet,,,
Attribute,RelationalAttribute,HotelLevelAttribute,,,
Physical,Collection,HotelMiniBar,,,
Abstract,Proposition,HotelPackage,,,
