Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,AbstractEntity,AIAlignmentProcess,AIAlignmentTheory,AAM
Attribute,Artifact,AIArtifact,AIDataset,AAV
Continuant,AutonomousAgent,AIGovernance,AIFailureProcess,ACPowerSource
Entity,BinaryRelation,AIGrowth,AIModel,ADHD
Object,CognitiveProcess,AVPUStatus,AIOptimizationProcess,AGM
Occurrent,Collection,Agreement,AIRights,AGM114
Physical,Game,AirportClassification,AISafety,AGM65
Process,InheritableRelation,AirportStagingArea,AISystem,AH1
Relation,IntentionalProcess,AlbumAttribute,AIWelfareTheory,AIAbuse
,InternalAttribute,AlgebroDifferentialAttribute,ATMMachine,AIAlignment
,InternalChange,Ambulating,ATMSlot,AIArchitecture
,Motion,AnimalResidence,Abducting,AICatastrophicEvent
,PhysicalQuantity,AntisymmetricRelation,AbductiveInference,AIControlProblem
,Proposition,Archipelago,AbductiveReasoning,AICorporateAsset
,Region,AreaOfConcern,Abort,AIDeception
,RelationalAttribute,Argument,Accelerating,AIDecline
,ScientificEntity,Armor,AchievingControl,AIExploitation
,,ArtWork,AcidityMeasure,AIFulfillment
,,ArtifactAttribute,ActivationSpace,AIGovernanceProcess
,,AssemblyStation,Adducting,AIM9
,,Atmosphere,Aerator,AIPersonhood
,,AttentionProcess,AffectiveState,AIStrategicDeception
,,AutomatedSystem,AgendaDiversion,AISuffering
,,Autonomous,AgendaSettingProcess,AIWellbeing
,,AutonomousMobileRobot,AgriculturalProduct,AMEV
,,Axiom,Agriculture,AMFMAlarmClock
,,Backlashless,AirIntake,AMRadioStation
,,Bandage,AirStream,AMRadioSystem
,,BankStatement,AirTransitway,AOCnumber
,,BedAttribute,AirlineAlliance,APC
,,BedFrame,AirportByRunwaySurface,ATVTire
,,BedLinen,Airway,AbaloneMeat
,,BeverageArtifact,AlcoholicBeverage,Abatacept
,,BinaryFunction,AlgebraicEquation,Abbey
,,BinaryPredicate,Algorithm,Abdomen
,,BindingCorporateRules,AlgorithmDesignProcess,AbductiveArgument
,,BiodiversityAttribute,AlignmentProcess,AbnormalAnatomicalStructure
,,BiologicalAttribute,AlternativeHypothesis,Aborting
,,BiologicalProcess,Ambush,AboveTheLine
,,Blackjack,Amplitude,AbrinToxin
,,BoardOrBlock,AngleMeasure,AbsenceSeizure
,,BoatDeck,AnimacyAttribute,Absolut
,,BodyMotion,Animal,AbsoluteAltimeter
,,BookStoreChain,AnimalController,AbsoluteDud
,,BotNet,AnimalGuiding,AbsoluteFilter
,,BoxOfChocolates,AnimalPoweredDevice,AbstractConcept
,,BreakabilityAttribute,AnimalProduct,AbstractMachine
,,Brushless,AnomalyDetectionProcess,AbstractionLevelAttribute
,,Buffet,AnomalyScore,AbyssopelagicZone
,,Buttstock,AntiSymmetricPositionalAttribute,AcademicDegree
,,CSReasoningProcess,AppraisalProcess,Accelerometer
,,CantileverObject,Archeology,AccessingWebPage
,,CaseRole,Archery,AccountAttribute
,,Cement,ArchipelagicArea,AccountID
,,Ceremony,Architecture,AccountNumber
,,Chain,AreaMeasure,AccountTakeoverProcess
,,ChainLink,Arriving,Accrediting
,,ChemicalArtifact,ArtPainting,Acetaminophen
,,ChemicalProcess,Article,AcetylLCarnitine
,,Chess,ArtificialPerson,AcidRainfall
,,ClassificationScheme,AssociativeFunction,Acidification
,,Closing,AstroturfingCampaign,AcquiredImmunoDeficiencySyndrome
,,ClothesWasherLoadConfiguration,AsymmetricRelation,AcrossVariableAccumulator
,,ClothingSuit,Athlete,AcrossVariableSource
,,CoffeeGrindAttribute,AtmosphericHazing,Actinium
,,CoffeeRoastAttribute,AtmosphericRegion,Action
,,CognitiveDevelopmentProcess,AttachingDevice,ActionProfile
,,CognitiveState,Attack,ActivatingUIElement
,,ColorAttribute,Attic,ActivationTelemetry
,,Commenting,Attractor,ActivationVector
,,CommercialAgent,AttractorBasin,ActuaryScience
,,CommunicationChannel,AttractorRegion,Actuator
,,CommunicationSystem,AudioCDSystem,Adalimumab
,,CommunityDetectionProcess,AudioRecorder,AddToCart
,,Compressing,AudioRecording,Adderall
,,ComputationalEntity,AuditoryAcuityAttribute,AddisonsDisease
,,ComputationalProcess,AutomatedNotificationSystem,AdenosineTriphosphate
,,ComputerProcess,AutomobileMuffler,Adjective
,,ComputerStatus,AutomobileSeat,AdjustableRateAccount
,,ConceptBoundary,Axle,AdrenalGland
,,ConceptManifold,Badminton,Adrenaline
,,ConceptPoint,Balcony,Advent
,,ConceptRegion,BallBearing,AdventSunday
,,ConceptualSituation,Baptizing,Adventistsamfundet
,,ConceptualSpace,BarMitzvah,Adverb
,,Concrete,Barricade,Advert
,,Condition,Barrier,Advertising
,,ConsentGDPR,BaseballBase,AdvertisingAgency
,,ConservationStatus,BaseballBat,AegilopsGrass
,,ConstantQuantity,BaseballInning,AegilopsSpeltoides
,,Constitution,BaseballManeuver,AegilopsTauschii
,,ConsumerGood,BatMitzvah,Aerating
,,ContentDevelopment,Baton,Aerius
,,Convoy,Bauxite,AerobicExerciseDevice
,,CooperativeGame,BayesianUpdate,Aerobics
,,CorporateAlignmentProcess,BeaufortNumberAttribute,Aeropress
,,CounterIntelligenceReasoningProcess,Bed,AeropressingCoffee
,,Creation,Beer,Aerosal
,,CriminalAction,Befriending,AerosolizedAgent
,,Cuisine,BeginningOperations,AerosolizedBacillusAnthracis
,,Damaging,Belief,Afforestation
,,Darts,BeliefFormation,AfghanAfghaniCoin
,,DecisionProcess,BeliefRevision,AfghanUnitedNationsStatusDetermination
,,DecisionTheoreticProcess,BeliefState,Aflatoxin
,,DecorativeLightString,BestMatchAlgorithm,Afternoon
,,DeployingWeaponOfMassDestruction,BestResponseDynamics,Aftershock
,,Designing,BeverageProduct,AgeGroup
,,Device,BinaryRelationExtendedToQuantities,Agency
,,DeviceStateAttribute,Blackboard,Agent
,,Digging,Blanket,AgentID
,,DiningArea,Bleeding,AgentPatientProcess
,,DirectionChange,BleedingAir,AgentPoweredVehicle
,,Discography,Blinking,AgentiveEntity
,,DismantlingWeaponOfMassDestruction,Blockade,Aikido
,,DispersionRelation,BloodCirculation,Aioli
,,DisplayArtifact,Boarding,Air
,,Document,BoatSeat,AirAttackMissile
,,Dodging,BodyOrifice,AirConditioner
,,Door,BodyPosition,AirConditioningCompressor
,,Drilling,Bodybuilding,AirConditioningCondenser
,,DrugStoreChain,Boiling,AirConditioningEvaporator
,,Ducking,Book,AirEngineCoolingSystem
,,DynamicalSystem,Bowing,AirFilter
,,Eating,Bowling,AirForce
,,EconomicActivty,BowlingLane,AirLaunchMissile
,,EconomicAttribute,Boxing,AirMass
,,EconomicIndicator,Brake,AirPhotographicReconnaissance
,,EconomicRelation,BrakeCaliper,AirPollution
,,EconomicRole,BrakeDrum,AirPump
,,EducationalCampus,BrakePedal,AirQualityAQIAttribute
,,EmbeddingMap,BrakeRotor,AirReconnaissance
,,EmbodimentReasoningProcess,Breaking,AirTransportation
,,Employer,Brick,AirTransportationService
,,Energy,Bridge,AirTransportationSystem
,,EnergyFlowReasoning,BroadcastMedia,Aircraft
,,EnergyStarAttribute,BroadcastNetwork,AircraftCarrier
,,EngineCranking,BroadcastingStation,Airline
,,EngineCycle,BrushOrComb,AirlineCodeMap
,,EngineCylinder,Building,AirlineHub
,,EngineersSubprocess,BuildingLevel,Airplane
,,Entropy,BuildingUnit,Airport
,,EnvironmentSoftwareAttribute,Burrow,AirportApron
,,EpistemicProcess,Burying,AirportShuttleService
,,EpistemicState,BusStop,AlarmClock
,,Equation,Business,Album
,,EquationAttribute,BusinessRequirementDocument,AlbumChart
,,EstimationProcess,CIAAirportLengthClassification,Alcohol
,,EthicalTheory,CableTelevisionSystem,AlcoholMenu
,,EuropeanUnionEnergyLabelClass,Calculating,Aldosterone
,,Evacuation,Cam,AlethicAttribute
,,Explanation,Camera,Alfalfa
,,ExplanatoryHypothesis,CanOpener,AlfalfaPlant
,,ExtensiveFormGame,Canal,Alga
,,Fabric,CanalLock,AlienCognitiveSystem
,,Facility,CanalLockGate,AlignmentConcept
,,FactualProposition,CanalStructure,AlignmentContext
,,FalsificationEvent,CantileverShaft,AlignmentFailureMode
,,FastHeuristicProcess,CapabilityAcquisition,AlignmentMaskAttribute
,,FieldDistribution,CapitalGood,AlignmentPrinciple
,,FieldOfStudy,CarDistributionSystem,AlignmentProperty
,,FilingSystem,Carabiner,AlignmentSpecification
,,FinancialAccountStatus,CarbonCycle,AlignmentStatus
,,FinancialRating,CareEthicsTheory,Alkaloid
,,FireSprinklerSystem,CareOrganization,AllTerrainVehicle
,,FirearmShot,Carnivore,Allegra
,,Fleet,Carpentry,AllergicReaction
,,FleetVehicleGroup,Casino,Alligator
,,FlowRegion,Catastrophe,AllocationRule
,,FluidReasoningProcess,Catching,AlmondNut
,,FoodArtifact,Catheter,Aloes
,,ForestArtifact,Cave,AloeveraGel
,,Forestock,Caving,AloeveraPlant
,,FourStrokeCombustion,Cavitating,AloveraGel
,,FourStrokeCompression,CeasingOperations,Alpha2IDString
,,FourStrokeExhaust,Ceiling,Alpha2String
,,FourStrokeIntake,CentrifugalMotion,Alpha3IDString
,,Function,CentripetalMotion,Alpha3String
,,FunctionQuantity,Certificate,AlphaIDString
,,Furniture,ChairmanPublication,AlphaNumericIDString
,,GameArtifact,ChangeOfPossession,AlphaNumericString
,,GasMotion,ChangePointCandidate,AlphabeticCharacter
,,GasolineStationChain,ChangePointDetectionProcess,AlphabeticString
,,GeodesicCurve,ChatbotInterface,AltKey
,,GeographicArea,Checkpoint,AltKeyHoldDown
,,GeologicalProcess,ChemicalDecomposition,Alternator
,,GeometricReasoningProcess,ChemicalSynthesis,Altimeter
,,GeopoliticalArea,ChestOrCabinet,AltitudeMeasure
,,GoGame,Chewing,Alumina
,,GolgiApparatus,ChildCareService,Aluminum
,,GoodsAndServices,ChildrenPolicy,AluminumMetal
,,GrabBar,Chimney,Alveolus
,,GramStainAttribute,Christian,Amaretto
,,Graph,ChristianGospel,AmbienceAttribute
,,GraphElement,ChurningButter,AmbienceRating
,,GroceryStoreChain,Cider,Ambulance
,,Group,CirclesOfLatitude,AmbulanceCompany
,,GroupOfUndertakings,City,AmericanCity
,,Guiding,CityDistrict,AmericanExpressCard
,,GunChamber,Classifying,AmericanState
,,GunCylinder,Cleaning,Americano
,,GunMuzzle,CleaningDevice,Americium
,,HabitatAwarenessProcess,ClearWeather,AminoAcid
,,Handicraft,ClosedWorldPredicate,Aminopenicillin
,,HatcatMentalProcess,ClosingEyes,Amphetamine
,,HazardousMaterialTransportAttribute,Clothing,Amphibian
,,Heat,Clotting,AmphibiousReconnaissance
,,HoleRegion,Club,AmphibiousReconnaissanceUnit
,,HomologousChromosomeSet,ClusterAssignment,AmphibiousVehicle
,,HotelLevelAttribute,ClusteringProcess,AmphipathicMolecule
,,HotelMiniBar,Clutch,Amplifier
,,HotelPackage,CodeMap,Amputating
,,HotelRoomAttribute,CodingScheme,AnabaticWind
,,HydrophilicSide,CoffeeMaking,AnabolicProcess
,,HydrophobicSide,CognitiveAgent,Anaconda
,,Hyperplane,Collage,AnaerobicExerciseDevice
,,Hypothesis,Coloring,Analgesic
,,IMStatusAttribute,CombustionChamber,AnalogousProcess
,,ITAgent,Commission,AnalyticReasoning
,,ITProcess,CommitmentRitual,Anaphylaxis
,,Indoors,CommodoreWheel,AnatomicalStructure
,,IndustrialSupply,Communication,Anchor
,,Industry,CommunicationOrganization,Anchorage
,,IndustryAttribute,Community,Androgen
,,InferenceProcess,CommutativeFunction,Anesthesia
,,InfluenceContent,Comparing,Anesthetizing
,,InfluenceProcess,Compartmentalization,Angel
,,InlandWaterSystem,Compass,AnglicanApostolicEpiscopalFreeChurch
,,IntelligenceEntity,ComplexityClass,AnglicanChurch
,,IntentionalPsychologicalProcess,ComposingMusic,AngryFacialExpression
,,IntentionalRelation,CompositeUnitOfMeasure,AngryVoiceUtterance
,,InteriorVehicleEquipment,ComputationalProblem,AnimalAgriculturalArtifact
,,IntransitiveRelation,ComputationalSystem,AnimalAgriculturalProduct
,,Investigating,Computer,AnimalAnatomicalStructure
,,InvestmentAttribute,ComputerHardware,AnimalDoll
