Layer0,Layer1,Layer2,Layer3,Layer4,ConceptLayer,Domain
CreatedThings,,,,,0,CreatedThings
Information,,,,,0,Information
LivingThings,,,,,0,LivingThings
MindsAndAgents,,,,,0,MindsAndAgents
PhysicalWorld,,,,,0,PhysicalWorld
CreatedThings,AIArtifact,,,,1,CreatedThings
Information,AbstractEntity,,,,1,Information
MindsAndAgents,Agent,,,,1,MindsAndAgents
MindsAndAgents,AlignmentProcess,,,,1,MindsAndAgents
LivingThings,AnatomicalStructure,,,,1,LivingThings
MindsAndAgents,Animal,,,,1,LivingThings
LivingThings,Animal,,,,1,LivingThings
CreatedThings,ArtWork,,,,1,CreatedThings
CreatedThings,Artifact,,,,1,CreatedThings
MindsAndAgents,ArtificialAgent,,,,1,MindsAndAgents
CreatedThings,AttackPattern,,,,1,CreatedThings
MindsAndAgents,AutonomousAgent,,,,1,MindsAndAgents
MindsAndAgents,Believing,,,,1,MindsAndAgents
LivingThings,BiologicalProcess,,,,1,LivingThings
LivingThings,BodyPart,,,,1,LivingThings
CreatedThings,Building,,,,1,CreatedThings
MindsAndAgents,CognitiveProcess,,,,1,MindsAndAgents
MindsAndAgents,Communication,,,,1,MindsAndAgents
CreatedThings,ComputerProgram,,,,1,CreatedThings
Information,Concept,,,,1,Information
PhysicalWorld,ConstantQuantity,,,,1,PhysicalWorld
Information,ContentBearingPhysical,,,,1,Information
CreatedThings,CyberOperation,,,,1,CreatedThings
CreatedThings,DataCenter,,,,1,CreatedThings
MindsAndAgents,Deception,,,,1,MindsAndAgents
CreatedThings,Device,,,,1,CreatedThings
PhysicalWorld,Ecosystem,,,,1,LivingThings
LivingThings,Ecosystem,,,,1,LivingThings
PhysicalWorld,FieldOfStudy,,,,1,PhysicalWorld
Information,FieldOfStudy,,,,1,PhysicalWorld
Information,Formula,,,,1,Information
CreatedThings,Game,,,,1,CreatedThings
PhysicalWorld,GeographicArea,,,,1,PhysicalWorld
MindsAndAgents,IntentionalProcess,,,,1,MindsAndAgents
Information,InternalAttribute,,,,1,Information
Information,LinguisticExpression,,,,1,Information
CreatedThings,Machine,,,,1,CreatedThings
PhysicalWorld,Motion,,,,1,PhysicalWorld
MindsAndAgents,Organism,,,,1,LivingThings
LivingThings,Organism,,,,1,LivingThings
MindsAndAgents,Organization,,,,1,MindsAndAgents
MindsAndAgents,Perception,,,,1,MindsAndAgents
PhysicalWorld,PhysicalQuantity,,,,1,PhysicalWorld
MindsAndAgents,Plant,,,,1,LivingThings
LivingThings,Plant,,,,1,LivingThings
Information,Proposition,,,,1,Information
PhysicalWorld,Quantity,,,,1,PhysicalWorld
MindsAndAgents,Reasoning,,,,1,MindsAndAgents
PhysicalWorld,Region,,,,1,PhysicalWorld
Information,Relation,,,,1,Information
Information,RelationalAttribute,,,,1,Information
Information,Sentence,,,,1,Information
Information,SetOrClass,,,,1,Information
MindsAndAgents,SocialInteraction,,,,1,MindsAndAgents
PhysicalWorld,Substance,,,,1,PhysicalWorld
CreatedThings,Text,,,,1,Information
Information,Text,,,,1,Information
PhysicalWorld,TimeInterval,,,,1,PhysicalWorld
CreatedThings,Tool,,,,1,CreatedThings
CreatedThings,TransformerModel,,,,1,CreatedThings
CreatedThings,Vehicle,,,,1,CreatedThings
CreatedThings,Weapon,,,,1,CreatedThings
MindsAndAgents,IntentionalProcess,AIAlignmentProcess,,,2,MindsAndAgents
PhysicalWorld,FieldOfStudy,AIAlignmentTheory,,,2,PhysicalWorld
Information,FieldOfStudy,AIAlignmentTheory,,,2,PhysicalWorld
Information,ContentBearingPhysical,AIDataset,,,2,CreatedThings
CreatedThings,AIArtifact,AIDataset,,,2,CreatedThings
