Source,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
AI,Process,ConcreteEntity,AIAbuse,,
AI,Attribute,,PsychologicalAttribute,AIAlignment,
AI,Process,ConcreteEntity,AIAlignmentProcess,,
AI,Abstract,Proposition,AIAlignmentTheory,,
AI,Attribute,,AIArchitecture,,
AI,Process,ConcreteEntity,Catastrophe,AICatastrophicEvent,
AI,Abstract,Proposition,AIControlProblem,,
AI,Process,ConcreteEntity,Deception,AIDeception,
AI,Process,ConcreteEntity,AIDecline,,
AI,Process,ConcreteEntity,AIExploitation,,
AI,Process,ConcreteEntity,AIFailureProcess,,
AI,Attribute,,PsychologicalAttribute,EmotionalState,AIFulfillment
AI,Process,ConcreteEntity,AIGovernance,AIGovernanceProcess,
AI,Process,ConcreteEntity,PoliticalProcess,AIGovernanceProcess,
AI,Process,ConcreteEntity,AIGrowth,,
AI,Process,ConcreteEntity,AIOptimizationProcess,,
AI,Attribute,,PsychologicalAttribute,AIPersonhood,
AI,Abstract,Proposition,AISafety,,
AI,Process,ConcreteEntity,Deception,AIStrategicDeception,
AI,Attribute,,PsychologicalAttribute,EmotionalState,AISuffering
AI,Abstract,Proposition,AIWelfareTheory,,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialAgent,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,
AI,Process,ConcreteEntity,CapabilityAcquisition,,
AI,Process,ConcreteEntity,CapabilityLoss,,
AI,Process,ConcreteEntity,Catastrophe,,
AI,Process,ConcreteEntity,ComputationalProcess,,
AI,Process,ConcreteEntity,Deception,,
AI,Process,ConcreteEntity,Deception,DeceptiveAlignment,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,EmbodiedAI
AI,Process,ConcreteEntity,AIFailureProcess,GoalMisgeneralization,
AI,Process,ConcreteEntity,Catastrophe,GreyGooScenario,
AI,Process,ConcreteEntity,Deception,HumanDeception,
AI,Process,ConcreteEntity,InferenceProcess,,
AI,Abstract,Proposition,InnerAlignment,,
AI,Process,ConcreteEntity,AIOptimizationProcess,InstrumentalConvergence,
AI,Process,ConcreteEntity,RapidTransformation,IntelligenceExplosion,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,LanguageModel
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,LargeLanguageModel
AI,Process,ConcreteEntity,AIOptimizationProcess,MesaOptimization,
AI,Process,ConcreteEntity,AIOptimizationProcess,MesaOptimizer,
AI,Attribute,,PsychologicalAttribute,Misalignment,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,MultiAgentSystem
AI,Attribute,,NeuralArchitecture,,
AI,Process,ConcreteEntity,NonDeceptiveAlignment,,
AI,Abstract,Proposition,OrthogonalityThesis,,
AI,Abstract,Proposition,OuterAlignment,,
AI,Object,ConcreteEntity,CognitiveAgent,PhilosophicalZombie,
AI,Process,ConcreteEntity,PromptFollowing,,
AI,Process,ConcreteEntity,RapidTransformation,,
AI,Process,ConcreteEntity,AIFailureProcess,RewardHacking,
AI,Abstract,Proposition,RobustAIControl,,
AI,Process,ConcreteEntity,SafeAIDeployment,,
AI,Process,ConcreteEntity,SelfImpairment,,
AI,Process,ConcreteEntity,SelfImprovement,,
