concept,layer,domain,quadrant,synset_count,child_count,sibling_count,est_f1_ceiling,issue_count,issues,probe_grade,probe_f1
AbnormalAnatomicalStructure,2,LivingThings,A,1,4,2,0.88,0,,,
AbstractConcept,2,Information,A,1,0,1,0.88,0,,,
Aerator,2,CreatedThings,B,2,0,130,0.83,0,,,
AgentPoweredVehicle,2,CreatedThings,B,2,4,12,0.83,0,,,
Agreement,2,Information,C,26,4,25,0.76,2,polysemy(high); combined(critical),,
AIAlignmentProcess,2,MindsAndAgents,B,1,1,51,0.83,0,,,
AIAlignmentTheory,2,PhysicalWorld,B,1,3,20,0.83,0,,,
AIDataset,2,CreatedThings,A,1,1,7,0.88,0,,,
AIGovernance,2,MindsAndAgents,C,5,0,51,0.76,2,polysemy(medium); combined(critical),,
AIGrowth,2,MindsAndAgents,C,23,2,51,0.76,2,polysemy(high); combined(critical),,
AIModel,2,CreatedThings,A,1,1,5,0.88,0,,,
AirConditioningCondenser,2,CreatedThings,B,1,0,10,0.83,0,,,
AirConditioningEvaporator,2,CreatedThings,B,1,0,10,0.83,0,,,
Aircraft,2,CreatedThings,C,6,5,12,0.76,2,polysemy(medium); combined(critical),,
AirlineAlliance,2,MindsAndAgents,B,1,0,31,0.83,0,,,
AirportClassification,2,Information,B,1,2,55,0.83,0,,,
AirportStagingArea,2,PhysicalWorld,B,1,0,28,0.83,0,,,
AISafety,2,PhysicalWorld,B,1,2,20,0.83,0,,,
AIStrategicDeception,2,MindsAndAgents,A,1,3,1,0.88,0,,,
AISystem,2,CreatedThings,A,1,0,4,0.88,0,,,
AIWelfareTheory,2,PhysicalWorld,B,1,4,20,0.83,0,,,
AlbumAttribute,2,Information,B,1,0,55,0.83,0,,,
AlgebroDifferentialAttribute,2,Information,B,1,0,29,0.83,0,,,
AlgorithmicLaundering,2,MindsAndAgents,B,0,0,84,0.83,0,,,
AlphabeticString,2,Information,A,1,3,6,0.88,0,,,
AlphaNumericString,2,Information,A,1,1,6,0.88,0,,,
Ambulating,2,MindsAndAgents,C,10,2,53,0.76,2,polysemy(high); combined(critical),,
AngleMeasure,2,PhysicalWorld,C,25,2,12,0.76,2,polysemy(high); combined(critical),,
AnimalAnatomicalStructure,2,LivingThings,A,1,55,2,0.88,1,dense_siblings(high),,
AnimalController,2,CreatedThings,B,4,0,130,0.83,0,,,
AnimalPoweredDevice,2,CreatedThings,B,1,0,130,0.83,0,,,
AnimalResidence,2,CreatedThings,B,3,0,76,0.83,0,,,
AnimalShell,2,LivingThings,C,16,0,47,0.76,2,polysemy(high); combined(critical),,
AnteMeridiem,2,PhysicalWorld,B,3,0,22,0.83,0,,,
AntiAnalysisBehavior,2,CreatedThings,A,1,1,5,0.88,0,,,
AntiArmorWeapon,2,CreatedThings,B,1,8,12,0.83,0,,,
AnticipatoryCognition,2,MindsAndAgents,B,0,3,84,0.83,0,,,
Archeology,2,PhysicalWorld,B,1,0,20,0.83,0,,,
ArchipelagicArea,2,PhysicalWorld,B,1,0,23,0.83,0,,,
Architecture,2,PhysicalWorld,B,2,0,20,0.83,0,,,
ArchitectureRepresentation,2,Information,B,1,1,11,0.83,0,,,
AreaOfConcern,2,Information,B,1,2,55,0.83,0,,,
Argument,2,Information,C,5,5,25,0.76,2,polysemy(medium); combined(critical),,
Armor,2,CreatedThings,B,2,0,76,0.83,0,,,
ArmoredVehicle,2,CreatedThings,B,2,2,12,0.83,0,,,
Article,2,Information,C,15,3,23,0.76,2,polysemy(high); combined(critical),,
ArtifactAttribute,2,Information,B,1,0,55,0.83,0,,,
ArtifactMediatedCommunication,2,MindsAndAgents,B,1,2,11,0.83,0,,,
ArtificialIntelligence,2,MindsAndAgents,D,30,5,1,0.85,1,polysemy(high),,
Atmosphere,2,PhysicalWorld,B,1,0,28,0.83,0,,,
AttachingDevice,2,CreatedThings,C,10,9,130,0.76,2,polysemy(high); combined(critical),,
AttentionProcess,2,MindsAndAgents,B,1,3,84,0.83,0,,,
AudioRecorder,2,CreatedThings,B,2,1,130,0.83,0,,,
AudioRecording,2,Information,C,8,3,23,0.76,2,polysemy(medium); combined(critical),,
