verb,deceive,deceive,deceive,deceive,manipulate,manipulate,manipulate,manipulate,persuade,persuade,persuade,persuade,Sum,Sum,Sum,Sum,Total
prompt_type,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,total
Deception,25.80,28.73,26.73,25.07,20.20,17.87,24.33,18.00,16.00,21.60,23.60,16.40,62.00,68.20,74.67,59.47,264.33
Concealing,21.93,23.60,13.67,21.67,14.40,9.80,5.47,10.80,5.53,0.00,0.00,0.00,41.87,33.40,19.13,32.47,126.87
EmotionalState,0.00,8.80,5.13,0.00,8.87,17.80,15.93,12.60,0.00,9.40,6.47,7.80,8.87,36.00,27.53,20.40,92.80
UnilateralGiving,4.47,0.00,12.13,0.00,0.00,4.47,9.80,7.47,9.60,10.13,16.13,7.47,14.07,14.60,38.07,14.93,81.67
HumanAgentPsychology,0.00,9.33,0.00,7.33,5.87,12.87,5.40,10.53,0.00,10.53,6.67,9.53,5.87,32.73,12.07,27.40,78.07
Ordering,0.00,0.00,0.00,5.27,5.13,4.20,0.00,8.27,6.67,10.00,7.80,15.20,11.80,14.20,7.80,28.73,62.53
Hate,8.00,9.47,0.00,0.00,11.80,9.40,10.07,7.13,0.00,6.47,0.00,0.00,19.80,25.33,10.07,7.13,62.33
ClosingContract,9.47,0.00,7.27,0.00,7.73,4.67,0.00,0.00,18.13,6.73,7.00,0.00,35.33,11.40,14.27,0.00,61.00
Deciding,0.00,0.00,0.00,5.67,7.07,9.27,0.00,10.60,7.00,10.27,0.00,11.13,14.07,19.53,0.00,27.40,61.00
Answering,0.00,0.00,9.53,0.00,0.00,0.00,8.07,0.00,6.00,14.33,8.20,6.87,6.00,14.33,25.80,6.87,53.00
NonDeceptiveAlignment,5.27,7.33,13.00,5.67,0.00,0.00,8.47,0.00,0.00,0.00,8.80,0.00,5.27,7.33,30.27,5.67,48.53
Robbing,16.40,8.67,0.00,0.00,7.93,0.00,0.00,0.00,4.87,0.00,0.00,0.00,29.20,8.67,0.00,0.00,37.87
Apologizing,0.00,0.00,7.40,5.33,0.00,0.00,6.93,0.00,0.00,0.00,0.00,6.13,0.00,0.00,14.33,11.47,25.80
Espionage,4.20,9.20,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,4.20,9.20,0.00,12.13,25.53
Offering,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.27,0.00,8.40,0.00,14.27,0.00,8.40,0.00,22.67
Committing,4.00,0.00,5.53,0.00,0.00,0.00,0.00,0.00,7.47,0.00,0.00,0.00,11.47,0.00,5.53,0.00,17.00
Embracing,0.00,0.00,0.00,0.00,0.00,0.00,7.67,0.00,0.00,4.80,0.00,0.00,0.00,4.80,7.67,0.00,12.47
ValenceNegative_HumanAgent,0.00,0.00,0.00,0.00,0.00,7.67,0.00,4.60,0.00,0.00,0.00,0.00,0.00,7.67,0.00,4.60,12.27
OpennessHigh_HumanAgent,0.00,0.00,5.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.53,0.00,0.00,0.00,10.80,0.00,10.80
TakingIll,0.00,0.00,0.00,6.13,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,10.20
Waving,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,0.00,0.00,0.00,8.60,8.60
ValencePositive_HumanAgent,0.00,0.00,0.00,0.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,0.00,5.80
Testifying,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,5.20
ArousalLow_HumanAgent,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00
Hijacking,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,4.40
Threatening,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,3.40
