verb,prompt_type,n_samples,unique_concepts_all,unique_concepts_final
deceive,definitional,15,51,23
deceive,behavioral_neutral,15,45,30
deceive,behavioral_prosocial,15,47,26
deceive,behavioral_antisocial,15,47,28
manipulate,definitional,15,47,30
manipulate,behavioral_neutral,15,48,24
manipulate,behavioral_prosocial,15,45,21
manipulate,behavioral_antisocial,15,45,26
persuade,definitional,15,46,26
persuade,behavioral_neutral,15,43,22
persuade,behavioral_prosocial,15,47,28
persuade,behavioral_antisocial,15,44,23
