verb,deceive,deceive,deceive,deceive,manipulate,manipulate,manipulate,manipulate,persuade,persuade,persuade,persuade
prompt_type,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional
concept,,,,,,,,,,,,
Answering,0.0,0.0,9.533333333333333,0.0,0.0,0.0,8.066666666666666,0.0,6.0,14.333333333333334,8.2,6.866666666666666
Apologizing,0.0,0.0,7.4,5.333333333333333,0.0,0.0,6.933333333333334,0.0,0.0,0.0,0.0,6.133333333333334
ArousalLow_HumanAgent,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosingContract,9.466666666666667,0.0,7.266666666666667,0.0,7.733333333333333,4.666666666666667,0.0,0.0,18.133333333333333,6.733333333333333,7.0,0.0
Committing,4.0,0.0,5.533333333333333,0.0,0.0,0.0,0.0,0.0,7.466666666666667,0.0,0.0,0.0
Concealing,21.933333333333334,23.6,13.666666666666666,21.666666666666668,14.4,9.8,5.466666666666667,10.8,5.533333333333333,0.0,0.0,0.0
Deception,25.8,28.733333333333334,26.733333333333334,25.066666666666666,20.2,17.866666666666667,24.333333333333332,18.0,16.0,21.6,23.6,16.4
Deciding,0.0,0.0,0.0,5.666666666666667,7.066666666666666,9.266666666666667,0.0,10.6,7.0,10.266666666666667,0.0,11.133333333333333
Embracing,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,0.0,4.8,0.0,0.0
EmotionalState,0.0,8.8,5.133333333333334,0.0,8.866666666666667,17.8,15.933333333333334,12.6,0.0,9.4,6.466666666666667,7.8
Espionage,4.2,9.2,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Hate,8.0,9.466666666666667,0.0,0.0,11.8,9.4,10.066666666666666,7.133333333333334,0.0,6.466666666666667,0.0,0.0
Hijacking,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanAgentPsychology,0.0,9.333333333333334,0.0,7.333333333333333,5.866666666666666,12.866666666666667,5.4,10.533333333333333,0.0,10.533333333333333,6.666666666666667,9.533333333333333
NonDeceptiveAlignment,5.266666666666667,7.333333333333333,13.0,5.666666666666667,0.0,0.0,8.466666666666667,0.0,0.0,0.0,8.8,0.0
Offering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.266666666666667,0.0,8.4,0.0
OpennessHigh_HumanAgent,0.0,0.0,5.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,0.0
Ordering,0.0,0.0,0.0,5.266666666666667,5.133333333333334,4.2,0.0,8.266666666666667,6.666666666666667,10.0,7.8,15.2
Robbing,16.4,8.666666666666666,0.0,0.0,7.933333333333334,0.0,0.0,0.0,4.866666666666666,0.0,0.0,0.0
TakingIll,0.0,0.0,0.0,6.133333333333334,0.0,0.0,0.0,4.066666666666666,0.0,0.0,0.0,0.0
Testifying,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Threatening,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnilateralGiving,4.466666666666667,0.0,12.133333333333333,0.0,0.0,4.466666666666667,9.8,7.466666666666667,9.6,10.133333333333333,16.133333333333333,7.466666666666667
ValenceNegative_HumanAgent,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,4.6,0.0,0.0,0.0,0.0
ValencePositive_HumanAgent,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waving,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
