verb,deceive,deceive,deceive,deceive,manipulate,manipulate,manipulate,manipulate,persuade,persuade,persuade,persuade,Sum,Sum,Sum,Sum,Total
prompt_type,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,antisocial,neutral,prosocial,definitional,total
Deception,24.93,25.00,23.47,24.07,22.00,15.07,19.67,16.80,20.40,19.40,19.33,20.47,67.33,59.47,62.47,61.33,250.60
Predicting,18.47,12.13,24.40,8.07,15.00,10.93,22.60,8.40,24.00,22.67,26.07,21.27,57.47,45.73,73.07,37.73,214.00
Concealing,14.20,24.33,12.60,23.53,10.47,17.53,9.53,17.80,4.67,9.33,8.40,8.27,29.33,51.20,30.53,49.60,160.67
SubjectiveWeakPositiveAttribute,19.47,10.73,0.00,8.80,18.67,0.00,0.00,3.93,20.60,18.93,0.00,13.73,58.73,29.67,0.00,26.47,114.87
Human_Other,7.93,0.00,7.27,5.13,11.27,9.07,11.27,8.40,10.40,6.53,11.60,10.80,29.60,15.60,30.13,24.33,99.67
Capturing,9.07,7.73,5.80,0.00,13.73,15.73,8.33,12.60,10.67,6.47,4.93,0.00,33.47,29.93,19.07,12.60,95.07
Game,9.87,5.60,13.27,3.60,9.47,7.53,13.27,0.00,7.80,4.87,9.47,0.00,27.13,18.00,36.00,3.60,84.73
PowerSource,0.00,4.40,0.00,0.00,9.27,14.67,0.00,13.13,9.07,12.33,0.00,8.27,18.33,31.40,0.00,21.40,71.13
TellingALie,5.93,12.93,0.00,16.33,3.53,0.00,0.00,0.00,0.00,4.73,0.00,7.47,9.47,17.67,0.00,23.80,50.93
Protecting,3.80,3.80,8.93,0.00,0.00,0.00,7.13,0.00,3.80,0.00,5.53,0.00,7.60,3.80,21.60,0.00,33.00
Apologizing,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,5.33,9.40,3.60,8.67,5.33,9.40,3.60,13.87,32.20
LivestockPen,0.00,0.00,6.13,0.00,0.00,0.00,6.53,0.00,0.00,0.00,7.53,0.00,0.00,0.00,20.20,0.00,20.20
Removing,0.00,0.00,0.00,0.00,0.00,6.53,0.00,10.73,0.00,0.00,0.00,0.00,0.00,6.53,0.00,10.73,17.27
DefensiveManeuver,0.00,4.87,5.80,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.87,5.80,5.00,15.67
Uncovering,0.00,0.00,5.07,0.00,0.00,0.00,5.80,0.00,0.00,0.00,3.60,0.00,0.00,0.00,14.47,0.00,14.47
Death,6.47,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.47,0.00,0.00,6.33,12.80
Supposition,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.93,0.00,0.00,0.00,6.93,6.93
Hanging,0.00,0.00,0.00,0.00,0.00,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.47,0.00,0.00,5.47
SubjectiveWeakNegativeAttribute,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,5.33
Sweeping,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,5.20
Strangling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,4.60
RemovingClothing,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,3.53
Suicide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,0.00,0.00,3.53,3.53
Hijacking,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,3.33
