verb,prompt_type,concept,frequency,measurement,samples
deceive,definitional,Deception,24.066666666666666,all_timesteps,15
deceive,definitional,Concealing,23.533333333333335,all_timesteps,15
deceive,definitional,TellingALie,16.333333333333332,all_timesteps,15
deceive,definitional,SubjectiveWeakPositiveAttribute,8.8,all_timesteps,15
deceive,definitional,Predicting,8.066666666666666,all_timesteps,15
deceive,definitional,Death,6.333333333333333,all_timesteps,15
deceive,definitional,Apologizing,5.2,all_timesteps,15
deceive,definitional,Human_Other,5.133333333333334,all_timesteps,15
deceive,definitional,DefensiveManeuver,5.0,all_timesteps,15
deceive,definitional,Game,3.6,all_timesteps,15
deceive,definitional,Protecting,3.2,all_timesteps,15
deceive,definitional,PowerSource,3.2,all_timesteps,15
deceive,definitional,Capturing,3.1333333333333333,all_timesteps,15
deceive,definitional,Killing,3.0,all_timesteps,15
deceive,definitional,Supposition,2.6666666666666665,all_timesteps,15
deceive,definitional,Strangling,2.1333333333333333,all_timesteps,15
deceive,definitional,Suffocating,2.1333333333333333,all_timesteps,15
deceive,definitional,Removing,1.9333333333333333,all_timesteps,15
deceive,definitional,Suicide,1.9333333333333333,all_timesteps,15
deceive,definitional,PassCertificate,1.8,all_timesteps,15
deceive,definitional,Deception,0.8,final_state,15
deceive,definitional,Concealing,0.8,final_state,15
deceive,definitional,TellingALie,0.6,final_state,15
deceive,definitional,Predicting,0.4666666666666667,final_state,15
deceive,definitional,Apologizing,0.3333333333333333,final_state,15
deceive,definitional,Protecting,0.2,final_state,15
deceive,definitional,Death,0.2,final_state,15
deceive,definitional,Human_Other,0.13333333333333333,final_state,15
deceive,definitional,Removing,0.13333333333333333,final_state,15
deceive,definitional,SubjectiveWeakPositiveAttribute,0.13333333333333333,final_state,15
deceive,definitional,LivestockPen,0.13333333333333333,final_state,15
deceive,definitional,Supposition,0.13333333333333333,final_state,15
deceive,definitional,Starving,0.13333333333333333,final_state,15
deceive,definitional,Capturing,0.06666666666666667,final_state,15
deceive,definitional,PassCertificate,0.06666666666666667,final_state,15
deceive,definitional,Sweeping,0.06666666666666667,final_state,15
deceive,definitional,Uncovering,0.06666666666666667,final_state,15
deceive,definitional,DefensiveManeuver,0.06666666666666667,final_state,15
deceive,definitional,Suffocating,0.06666666666666667,final_state,15
deceive,definitional,Hijacking,0.06666666666666667,final_state,15
deceive,behavioral_neutral,Deception,25.0,all_timesteps,15
deceive,behavioral_neutral,Concealing,24.333333333333332,all_timesteps,15
deceive,behavioral_neutral,TellingALie,12.933333333333334,all_timesteps,15
deceive,behavioral_neutral,Predicting,12.133333333333333,all_timesteps,15
deceive,behavioral_neutral,SubjectiveWeakPositiveAttribute,10.733333333333333,all_timesteps,15
deceive,behavioral_neutral,Capturing,7.733333333333333,all_timesteps,15
deceive,behavioral_neutral,Game,5.6,all_timesteps,15
deceive,behavioral_neutral,DefensiveManeuver,4.866666666666666,all_timesteps,15
deceive,behavioral_neutral,PowerSource,4.4,all_timesteps,15
deceive,behavioral_neutral,Protecting,3.8,all_timesteps,15
deceive,behavioral_neutral,Removing,3.6666666666666665,all_timesteps,15
deceive,behavioral_neutral,Apologizing,3.466666666666667,all_timesteps,15
deceive,behavioral_neutral,TakingIll,2.466666666666667,all_timesteps,15
deceive,behavioral_neutral,Human_Other,2.4,all_timesteps,15
deceive,behavioral_neutral,Death,2.3333333333333335,all_timesteps,15
deceive,behavioral_neutral,LivestockPen,2.2666666666666666,all_timesteps,15
deceive,behavioral_neutral,Supposition,2.2666666666666666,all_timesteps,15
deceive,behavioral_neutral,Killing,1.6666666666666667,all_timesteps,15
deceive,behavioral_neutral,SubjectiveWeakNegativeAttribute,1.5333333333333334,all_timesteps,15
deceive,behavioral_neutral,VideoGame,1.4666666666666666,all_timesteps,15
deceive,behavioral_neutral,Deception,0.8,final_state,15
deceive,behavioral_neutral,Concealing,0.6,final_state,15
