concept,layer,domain,quadrant,synset_count,child_count,sibling_count,est_f1_ceiling,issue_count,issues,probe_grade,probe_f1
AAV,3,CreatedThings,B,1,0,22,0.83,0,,,
Abbey,3,MindsAndAgents,A,3,0,2,0.88,0,,,
Abdomen,3,LivingThings,B,2,0,33,0.83,0,,,
Abducting,3,PhysicalWorld,B,2,0,27,0.83,0,,,
AbductiveInference,3,MindsAndAgents,A,1,0,6,0.88,0,,,
AbductiveReasoning,3,MindsAndAgents,A,1,0,2,0.88,0,,,
AboveTheLine,3,Information,A,1,2,3,0.88,0,,,
AbsoluteDud,3,CreatedThings,A,1,0,0,0.88,0,,,
AbsoluteFilter,3,CreatedThings,A,1,0,3,0.88,0,,,
AcademicDegree,3,Information,B,1,0,12,0.83,0,,,
Accelerating,3,PhysicalWorld,B,1,0,26,0.83,0,,,
Accelerometer,3,CreatedThings,B,1,0,80,0.83,0,,,
AccountNumber,3,Information,B,1,0,13,0.83,0,,,
AchievingControl,3,MindsAndAgents,B,1,1,13,0.83,0,,,
AcidityMeasure,3,PhysicalWorld,A,1,0,3,0.88,0,,,
ACPowerSource,3,CreatedThings,A,1,2,4,0.88,0,,,
ActivationSpace,3,Information,A,1,0,3,0.88,0,,,
ActuaryScience,3,PhysicalWorld,B,1,0,19,0.83,0,,,
Actuator,3,CreatedThings,B,1,9,45,0.83,0,,,
Adderall,3,PhysicalWorld,B,1,0,24,0.83,0,,,
Adducting,3,PhysicalWorld,B,2,0,27,0.83,0,,,
AdenosineTriphosphate,3,PhysicalWorld,B,1,0,32,0.83,0,,,
Adjective,3,Information,D,13,0,6,0.85,1,true_polysemy(medium),,
Adverb,3,Information,D,4,0,6,0.85,1,true_polysemy(medium),,
Advertising,3,MindsAndAgents,D,23,2,3,0.85,1,true_polysemy(medium),,
AdvertisingAgency,3,MindsAndAgents,B,1,0,20,0.83,0,,,
AerobicExerciseDevice,3,CreatedThings,A,1,1,3,0.88,0,,,
AffectiveState,3,Information,B,1,0,12,0.83,0,,,
Afternoon,3,PhysicalWorld,A,1,0,1,0.88,0,,,
Agency,3,MindsAndAgents,B,1,0,20,0.83,0,,,
AgendaDiversion,3,MindsAndAgents,B,1,0,10,0.83,0,,,
AgendaSettingProcess,3,MindsAndAgents,A,1,0,8,0.88,0,,,
AgentBasedModeling,3,MindsAndAgents,A,0,0,2,0.88,0,,,
AgenticServiceToFutureASI,3,Information,B,0,0,32,0.83,0,,,
